Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
C15,16V_10uF_P,Seeed-Capacitor:AVX-A,1,-,TAJA106K016RNJ,-,302020002
C12;C10;C13;C11;C2;C1;C16,100nF,Seeed-Capacitor:C0805,7,-,CC0805KRX7R9BB104,-,302010165
C3,10nF,Seeed-Capacitor:C0805,1,-,-,-,-
C7;C14,10uF,Seeed-Capacitor:C0805,2,-,CC0805ZKY5V6BB106,-,302010158
C6;C4,16V_4.7uF,Seeed-Capacitor:C0805,2,-,-,-,-
C9,1nF,Seeed-Capacitor:C0805,1,-,-,-,-
C8,33nF,Seeed-Capacitor:C0805,1,-,-,-,-
C5,4.7uF,Seeed-Capacitor:C0805,1,-,-,-,-
J6;J5,Grove_Analog,Seeed-Connector:HW4-SMD-2.0,2,-,-,-,-
J3;J4,Grove_Digital,Seeed-Connector:HW4-SMD-2.0,2,-,-,-,-
J2,Grove_I2C,Seeed-Connector:HW4-SMD-2.0,1,-,-,-,-
J7,Grove_SPI,Seeed-Connector:HW4-SMD-2.0,1,-,-,-,-
D2;D3;D4;D1;D7;D8;D9;D6,SMD-RGB-LED-4P'WS2812B',Seeed-Diode:LED4-SMD-5050,8,-,WS2812B,-,304990003
D5,SS0520,Seeed-Diode:SOD-123,1,-,SS0520-7-F,-,304020032
U6,PMIC-AIC1896GG_SOT23-6_,Seeed-IC:SOT-23-6,1,-,AIC1896CG,-,310030104
L1,10uH,Seeed-Inductor:SMD-2P-L6.0XW6.0XH3.0MM,1,-,CSAB0630-100M,-,303010016
D13,SMD-LED-CLEAR-BLUE_0805_,Seeed-LED:LED-0805,1,-,EL-17-215/BHC-AN1P2/3T,-,304090061
D11,SMD-LED-CLEAR-GREEN_0805_,Seeed-LED:LED-0805,1,-,17-215SYGC/S530-E2/TR8,-,304090057
D10,SMD-LED-CLEAR-RED_0805_,Seeed-LED:LED-0805,1,-,17-215SURC/S530-A2/TR8,-,304090046
D12,SMD-LED-CLEAR-YELLOW_0805_,Seeed-LED:LED-0805,1,-,17-215UYC/S530-A3/TR8,-,304090039
U5,MPU-9250,Seeed-OPL-2017-01-Sensor-camilo:MPU-9250,1,-,MPU-9250,-,314990005
U2,QG-2864KSWEG02,Seeed-OPL-2017-01-display-edward:OLED27P-0.6-BEND,1,-,LY190-128064,-,308020000
R15,1.5k,Seeed-Resistor:R0805,1,-,-,-,-
R12;R10;R13;R11;R5;R3,10k,Seeed-Resistor:R0805,6,-,-,-,-
R14,11k,Seeed-Resistor:R0805,1,-,-,-,-
R9,220,Seeed-Resistor:R0805,1,-,-,-,-
R6;R7;R8,560,Seeed-Resistor:R0805,3,-,-,-,-
R4,910k,Seeed-Resistor:R0805,1,-,-,-,-
SW5;SW6,SW_Push_Dual,Seeed-Switch:SW4-SMD-5.2X5.2X1.5MM,2,-,DTSM-62K-S-V-T/R(SN431),-,311020004
SW3;SW1;SW4;SW2,SW_Push_Dual,Seeed-Switch:SW4-SMD-6.0X6.0X5.0MM,4,-,DTSM-62K-S-V-T/R(SN431),-,311020004
J9,microbit_edge,microbit:microbit_edge,1,-,-,-,-
U3,NRF51822_SKB360,nrf51822:nrf51822_skb360,1,-,-,-,-
U4,PyBoard,pyboard:pyboard,1,-,-,-,-
